,top words,ID,Text
0,, , 
1,"['person', 'either', 'textbook', 'karen', 'waste', 'time', 'dude']",101,this person is either a textbook karen or ; don’t waste your time on them dude 
2,"['thought', 'jump', 'button']",483,i thought the b was the jump button 
3,"['man', 'wrote', 'bible', 'cus', 'like', 'pet', 'lego', 'game']",551,man wrote the bible cus he did not like pet lego game
4,"['tycoons', 'doge', 'coils', 'hoverboards']",708,and the tycoons too with the doge coils hoverboards too
5,"['yeah', 'least', 'didnt', 'violate', 'tos', 'sm']",763,yeah but at least they didnt violate tos sm
6,['loop'],775,its a loop
7,"['actually', 'cute', 'dont', 'know']",1052,this is actually cute i dont know why
8,['downvoted'],1078,why is she downvoted
9,"['think', 'using', 'bots', 'everyone', 'server', 'tab', 'looks', 'like', 'generic', 'year', 'old', 'oder', 'skin', 'doubt', 'using', 'bots', 'either', 'though']",1206,i don't think they are using bots but everyone on the server tab looks like the same generic year old oder skin i wouldn't doubt they are using bots either though
10,"['preach', 'dude', 'preach']",1289,preach my dude preach
11,"['pr', 'adds', 'champion', 'zombies', 'still', 'underpowered', 'think', 'placerebuilder', 'balance', 'survivors', 'instead']",1403,pr adds champion and zombies are still underpowered i think placerebuilder should just balance the survivors instead
12,"['agree', 'spam', 'bots', 'would', 'still', 'around', 'pay', 'win', 'games', 'robux', 'would', 'still', 'flex', 'tycoons', 'stupid', 'unless', 'retail', 'tycoon']",1423,i agree with most of these but of them spam bots would still be around and pay win games robux would be still a flex and tycoons are stupid unless it is retail tycoon 
13,"['could', 'gotten', 'red', 'shaggy', 'hair', 'rbx']",1541,you could've gotten the red shaggy hair for rbx 
14,"['crying', 'voted']",1556,crying about being down voted 
15,"['lmao', 'crying', 'votes', 'clearly', 'care', 'ever', 'point', 'waaaa', 'waaaa', 'vote']",1564,lmao crying about down votes once again you clearly care about it as that's all you ever point out waaaa waaaa why you down vote me 🥺🥺🥺😢😢😢😢
16,"['quit', 'crying', 'votes']",1568,quit crying about down votes; it's all you do
17,"['written', 'different', 'programming', 'language']",1625,it’s written in a different programming language
18,"['kinda', 'cute', 'ngl']",1767,that's kinda cute ngl
19,"['based', 'libright']",1776,based libright
20,"['cool', 'move', 'somalia', 'libertarian', 'utopia']",1803,cool you should move to somalia libertarian utopia
21,"['man', 'sure', 'hate', 'roads']",1804,man you sure hate roads don’t you 
22,"['people', 'downvoting', 'man']",1808,why are people downvoting you man
23,"['ah', 'another', 'man', 'culture', 'see']",1817,ah another man of culture i see
24,"['foresaken', 'lives', 'irs', 'agents']",1818,foresaken the lives of the irs agents i have
25,"['fly', 'thailand', 'shall']",1844,fly to thailand i shall 
