,top words,ID,Text
0,, , 
1,"['good', 'illustration', 'industry', 'needs', 'regulated', 'unadulterated', 'capitalism', 'equals', 'businesses', 'ram', 'rodding', 'everyone']",98,good illustration of why industry needs to be regulated unadulterated capitalism equals businesses ram rodding everyone 
2,"['waiting', 'like', 'years']",303,we’ve been waiting for like years
3,"['wait', 'mate', 'bees']",307,wait so you mate bees 
4,"['except', 'bees']",696,except bees
5,"['power', 'bill', 'man', 'power', 'bill']",719,the power bill man the power bill
6,['poop'],744,r poop
7,"['preston', 'care', 'long', 'getting', 'dough', 'lmao']",752,preston wouldn't care as long as he's getting that dough lmao
8,"['non', 'fungible', 'tokens', 'nfts', 'cryptographic', 'assets', 'blockchain', 'unique', 'identification', 'codes', 'metadata', 'distinguish', 'unlike', 'cannot', 'traded', 'exchanged', 'equivalency', 'differs', 'fungible', 'tokens', 'like', 'identical', 'therefore', 'used', 'medium', 'commercial', 'transactions']",791,**non fungible tokens or nfts are cryptographic assets on blockchain with unique identification codes and metadata that distinguish them from each other unlike cryptocurrencies they cannot be traded or exchanged at equivalency this differs from fungible tokens like cryptocurrencies which are identical to each other and therefore can be used as a medium for commercial transactions **
9,"['billion', 'hell']",910, billion what the hell 
10,['mate'],967,same here mate
11,"['antivirus', 'detects', 'virus']",1057,when the antivirus detects itself as a virus
12,"['antivirus', 'enough', 'need', 'protegent', 'worlds', 'antivirus', 'deeta', 'recovery', 'software']",1059,“antivirus is not enough you need protegent worlds only antivirus with deeta recovery software”
13,"['antivirus', 'protegent']",1069,the antivirus was protegent
14,"['stern', 'moai', 'invariant', 'commands', 'opt', 'opt', 'delete']",1072,**very stern moai is ** * invariant * *** ^ commands 'opt out' 'opt in' 'delete' 
15,['bruh'],1212,bruh
16,"['gonna', 'lie', 'murder', 'mistery', 'kat', 'sharkbite', 'epic', 'minigames', 'games', 'good', 'yeah', 'natural', 'disasters', 'survival', 'amazing']",1305,not gonna lie murder mistery kat sharkbite epic minigames and other games are good too but yeah natural disasters survival is amazing 
17,"['anyone', 'remember', 'roblox', 'battle', 'remastered', 'back', 'dead', 'servers', 'empty']",1309,anyone remember roblox battle they remastered it back in its dead now the servers are empty
18,"['nah', 'roblox', 'still', 'good', 'playing', 'minecraft', 'remember', 'one', 'deadly', 'sin', 'never', 'buy', 'minecraft', 'bedrock', 'edition', 'phones', 'stuff']",1344,nah roblox is still good but when playing minecraft remember the one deadly sin never buy minecraft bedrock edition phones and stuff 
19,"['omg', 'yas', 'games', 'epic']",1360,omg yas both of those games are epic
20,"['inaccurate', 'forgot', 'devil', 'ice', 'powers', 'youtuber', 'disgraceful']",1380,this is so inaccurate you forgot the devil has ice powers youtuber disgraceful 
21,"['alex', 'rich', 'famous', 'lesbian', 'gay', 'queen', 'pro', 'says', 'bad', 'word', 'half', 'unicorn', 'half', 'demon', 'dont', 'touch', 'tail', 'gold', 'digger', 'cheater', 'russian', 'eats', 'tacos', 'evil', 'angle', 'bad', 'bullied', 'single', 'cuffed', 'youtuver', 'ice', 'powers']",1381,alex rich famous lesbian gay queen pro says bad word half unicorn half demon dont touch my tail gold digger cheater russian eats tacos evil angle bad bullied single cuffed youtuver ice powers 
22,"['john', 'rich', 'famous', 'asexual', 'says', 'bad', 'words', 'half', 'wolf', 'half', 'dolphin', 'creature', 'night', 'leader', 'pack', 'dont', 'touch', 'tail', 'gold', 'digger', 'likes', 'bones', 'kills', 'pigs', 'demon', 'bad', 'single', 'teen', 'youtuber', 'ice', 'powers', 'fire', 'powers', 'use', 'force', 'dodge', 'bullets', 'cant', 'killed', 'tattoos', 'wings', 'furry', 'dresses', 'cool', 'mansion', 'watches', 'jojo', 'plays']",1414,john rich famous asexual says bad words half wolf half dolphin creature of the night leader of the pack dont touch my tail gold digger likes bones kills pigs demon bad single teen youtuber has ice powers has fire powers can use the force can dodge bullets cant be killed has tattoos has wings furry dresses cool has a mansion watches jojo plays on b t
23,"['master', 'yoda', 'shall', 'bow']",1792,to you master yoda we shall bow
24,"['like', 'people', 'preferable', 'taxation', 'death', 'ketamine']",1820,like most people i am not preferable to taxation is death by ketamine
25,"['one', 'learn', 'powers']",1836,can one learn such powers 
26,"['bring', 'ketamine', 'inject', 'large', 'dose', 'ketamine', 'die', 'shall']",1862,bring some ketamine too you should inject a large dose of ketamine before we die we shall 
27,['minecraft'],1893,what about minecraft
28,"['well', 'crazy', 'good', 'statistic']",1904,well that is a crazy good statistic 
29,"['yep', 'happy', 'waiting', 'black', 'ops', 'remastered', 'tyvm']",2146,yep i’m happy just waiting for black ops remastered tyvm
30,"['mean', 'like', 'killing', 'floor']",2177,you mean like killing floor 
31,"['dragonborn', 'would', 'like', 'word']",2233,the dragonborn would like a word 
32,"['forget', 'dota', 'mod', 'warcraft', 'think']",2295,don't forget dota was a mod for warcraft i think 
33,"['mentally', 'challenged', 'mate']",2317,are you mentally challenged mate 
34,"['wait', 'see', 'deadzone', 'eternal']",2391,wait until you see deadzone eternal 
35,"['forget', 'pedophiles']",2405,don't forget the pedophiles
36,"['replace', 'word', 'devs', 'kids', 'world', 'capitalists', 'rapists', 'described', 'pedophile', 'see', 'point', 'cane', 'replace', 'words', 'whatever', 'want', 'change', 'morality', 'defined', 'specificities']",2459,replace the word devs with kids and the world capitalists with rapists and you just described a pedophile see how that isn't a point we cane replace those words with whatever you want but it doesn't change the morality defined in the specificities 
37,"['technically', 'illegal', 'wrong', 'asking', 'people', 'say', 'think', 'dying', 'hill', 'twist', 'words', 'around', 'attack', 'pathetic']",2531,it's not technically illegal but it's wrong i'm asking people to say what they think i am not dying on any hill and you just twist my words around to attack me pathetic 
38,"['mean', 'minecraft', 'royale', 'come', 'full', 'circle']",2563,you mean minecraft royale we've come full circle now
39,"['reminds', 'minecraft', 'easter', 'egg', 'borderlands']",2576,reminds me of the minecraft easter egg in borderlands 
40,['rtx'],2580,>rtx off
41,"['like', 'minecraft', 'royale', 'think', 'malfunctioning', 'gpu', 'since', 'trees', 'bushes', 'affected', 'probably', 'manual', 'tweaks']",2602,more like **minecraft royale** and i don't think that's a malfunctioning gpu since only the trees and some bushes are affected probably manual tweaks 
42,"['tbh', 'minecraft', 'battle', 'royale', 'anyone', 'else', 'uhc', 'hunger', 'games', 'mods']",2614,tbh minecraft did battle royale before anyone else did what with the uhc and hunger games mods 
43,"['excuse', 'circles', 'minecraft']",2615,excuse me there’s no circles in minecraft
44,"['servers', 'zoned', 'moved']",2642,some servers had zoned that moved in
45,"['wait', 'run', 'things', 'ram', 'screwed', 'randomly', 'bsod', 'way', 'mark', 'bad', 'sectors', 'pc', 'use']",2644,wait how do u run things when your ram is screwed doesn't it just randomly bsod you or is there some way to mark the bad sectors and get the pc not to use them 
